<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC,5,20200907,090000,142.4,142.4,136,138.4,1062,0
AMC,5,20200907,090500,138.8,139.8,138.8,139.8,198,0
AMC,5,20200907,091000,139.2,139.8,139.2,139.4,85,0
AMC,5,20200907,091500,139,139.2,138.2,138.2,223,0
AMC,5,20200907,092000,138.2,138.8,137,138,302,0
AMC,5,20200907,092500,138,138.6,138,138,100,0
AMC,5,20200907,093000,138,138.4,138,138.2,235,0
AMC,5,20200907,093500,138.4,138.4,138.4,138.4,36,0
AMC,5,20200907,094000,138,138,138,138,31,0
AMC,5,20200907,094500,138.6,138.8,138,138,79,0
AMC,5,20200907,095000,138.8,138.8,138.8,138.8,11,0
AMC,5,20200907,095500,138.2,138.2,138,138,97,0
AMC,5,20200907,100000,138,138.6,138,138.6,78,0
AMC,5,20200907,100500,138,138,138,138,2,0
AMC,5,20200907,101000,138.2,138.4,138.2,138.4,137,0
AMC,5,20200907,101500,138.4,138.6,138.2,138.2,106,0
AMC,5,20200907,102000,138.2,138.2,136.8,136.8,178,0
AMC,5,20200907,102500,136.8,136.8,136.8,136.8,90,0
AMC,5,20200907,103000,137.4,137.4,137.4,137.4,12,0
AMC,5,20200907,104000,136.8,136.8,136.8,136.8,9,0
AMC,5,20200907,104500,136.8,136.8,136.2,136.2,54,0
AMC,5,20200907,105000,136.2,137,136.2,137,40,0
AMC,5,20200907,105500,136.2,137,136.2,137,119,0
AMC,5,20200907,110000,137,137.2,137,137.2,58,0
AMC,5,20200907,110500,137.2,137.2,137.2,137.2,33,0
AMC,5,20200907,111000,137.4,137.6,137,137,83,0
AMC,5,20200907,111500,137.4,137.4,137,137.4,55,0
AMC,5,20200907,112000,137.4,137.4,137,137.4,52,0
AMC,5,20200907,113000,137.2,137.2,137.2,137.2,12,0
AMC,5,20200907,113500,137,137,137,137,1,0
AMC,5,20200907,114000,137,137,137,137,10,0
AMC,5,20200907,114500,136.4,136.4,136.4,136.4,44,0
AMC,5,20200907,115000,136.4,136.4,136.4,136.4,15,0
AMC,5,20200907,120000,136.2,136.2,136.2,136.2,234,0
AMC,5,20200907,120500,136.4,137,136.4,137,142,0
AMC,5,20200907,121000,137,137,137,137,21,0
AMC,5,20200907,121500,137,137,137,137,81,0
AMC,5,20200907,122000,137.4,137.4,137.4,137.4,39,0
AMC,5,20200907,122500,137.4,137.4,137.4,137.4,12,0
AMC,5,20200907,123000,136.8,136.8,136.8,136.8,66,0
AMC,5,20200907,123500,137,137,137,137,35,0
AMC,5,20200907,124000,137,137,137,137,5,0
AMC,5,20200907,124500,137.2,137.4,137.2,137.4,79,0
AMC,5,20200907,131000,137,137,137,137,3,0
AMC,5,20200907,131500,137,137,137,137,17,0
AMC,5,20200907,132500,137.2,137.2,137.2,137.2,62,0
AMC,5,20200907,134000,137.2,137.2,137.2,137.2,58,0
AMC,5,20200907,134500,137,137,137,137,98,0
AMC,5,20200907,135500,136.6,136.6,136.6,136.6,80,0
AMC,5,20200907,140000,136.6,136.6,136.4,136.4,34,0
AMC,5,20200907,140500,136.4,137.2,136.4,137.2,87,0
AMC,5,20200907,143500,136.8,136.8,136.8,136.8,10,0
AMC,5,20200907,144000,136.6,136.8,136.4,136.8,114,0
AMC,5,20200907,144500,136.6,136.6,136.6,136.6,30,0
AMC,5,20200907,145500,136.6,136.8,136.2,136.2,51,0
AMC,5,20200907,151000,136.8,136.8,136.6,136.6,31,0
AMC,5,20200907,152500,136.6,136.6,136.4,136.4,61,0
AMC,5,20200907,153000,136.4,136.4,136.4,136.4,35,0
AMC,5,20200907,154500,136.4,136.6,136.4,136.6,53,0
AMC,5,20200907,155000,136.2,136.2,136,136,241,0
AMC,5,20200907,160000,136.6,136.6,136.6,136.6,6,0
AMC,5,20200907,161000,136.6,136.6,136.6,136.6,100,0
AMC,5,20200907,162000,137,137,137,137,3,0
AMC,5,20200907,163000,136.2,136.2,136.2,136.2,47,0
AMC,5,20200907,163500,137,137,137,137,17,0
AMC,5,20200907,164000,137,137,137,137,17,0
AMC,5,20200907,164500,136.8,136.8,136.4,136.4,94,0
AMC,5,20200908,090000,135,135,127.2,133.6,1037,0
AMC,5,20200908,090500,133.8,133.8,132.4,133.8,238,0
AMC,5,20200908,091000,134,134,134,134,14,0
AMC,5,20200908,091500,133.2,133.2,132.2,132.2,92,0
AMC,5,20200908,092000,132.6,132.6,132,132,123,0
AMC,5,20200908,092500,131.2,131.2,129.4,129.4,324,0
AMC,5,20200908,093000,129.2,131,129.2,131,106,0
AMC,5,20200908,093500,131,131,131,131,23,0
AMC,5,20200908,094000,130.4,130.6,130,130,48,0
AMC,5,20200908,094500,130,130.4,130,130,69,0
AMC,5,20200908,095000,130,132,130,132,340,0
AMC,5,20200908,095500,132,132.2,131,132,336,0
AMC,5,20200908,100000,131.8,132.4,131.8,132.4,127,0
AMC,5,20200908,100500,132.2,132.6,132.2,132.6,27,0
AMC,5,20200908,101000,132.8,133.8,132.8,133.8,103,0
AMC,5,20200908,101500,133.8,134,133.6,134,182,0
AMC,5,20200908,102500,133.2,134,133.2,134,158,0
AMC,5,20200908,103000,134.2,135,134.2,135,72,0
AMC,5,20200908,103500,135,136.4,133.6,133.6,81,0
AMC,5,20200908,104000,134.4,134.4,134,134,19,0
AMC,5,20200908,104500,134.8,134.8,134.8,134.8,3,0
AMC,5,20200908,105500,134.8,135,134,134,129,0
AMC,5,20200908,110000,134.2,134.2,134.2,134.2,11,0
AMC,5,20200908,111500,136,136,136,136,17,0
AMC,5,20200908,112000,135.2,135.2,135.2,135.2,15,0
AMC,5,20200908,112500,135.4,136.4,135.4,136.4,20,0
AMC,5,20200908,113000,136.8,136.8,136.8,136.8,23,0
AMC,5,20200908,113500,136.2,136.2,135.8,135.8,100,0
