<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSW,5,20200907,090000,16.55,17.15,16.5,17.15,108073,0
JSW,5,20200907,090500,17.15,17.15,16.885,17,62071,0
JSW,5,20200907,091000,16.99,17.055,16.86,16.9,13760,0
JSW,5,20200907,091500,16.85,16.85,16.75,16.775,31998,0
JSW,5,20200907,092000,16.79,17.055,16.755,17,21034,0
JSW,5,20200907,092500,17,17.07,17,17.055,10250,0
JSW,5,20200907,093000,17.02,17.16,17.01,17.16,34908,0
JSW,5,20200907,093500,17.18,17.3,17.095,17.27,47700,0
JSW,5,20200907,094000,17.27,17.35,17.205,17.35,23157,0
JSW,5,20200907,094500,17.35,17.4,17.21,17.255,30182,0
JSW,5,20200907,095000,17.33,17.335,17.15,17.305,31101,0
JSW,5,20200907,095500,17.31,17.42,17.3,17.335,28815,0
JSW,5,20200907,100000,17.39,17.42,17.35,17.4,13127,0
JSW,5,20200907,100500,17.375,17.44,17.32,17.32,14432,0
JSW,5,20200907,101000,17.38,17.38,17.2,17.3,21327,0
JSW,5,20200907,101500,17.26,17.365,17.2,17.325,8757,0
JSW,5,20200907,102000,17.365,17.65,17.33,17.64,73796,0
JSW,5,20200907,102500,17.645,17.955,17.64,17.805,74298,0
JSW,5,20200907,103000,17.915,17.925,17.725,17.9,47662,0
JSW,5,20200907,103500,17.9,17.9,17.8,17.895,21494,0
JSW,5,20200907,104000,17.895,17.995,17.85,17.995,55258,0
JSW,5,20200907,104500,17.995,18.205,17.98,18.205,40342,0
JSW,5,20200907,105000,18.2,18.29,18.01,18.01,52399,0
JSW,5,20200907,105500,18.07,18.095,17.865,17.9,43188,0
JSW,5,20200907,110000,17.985,18.135,17.985,18.07,75220,0
JSW,5,20200907,110500,18.14,18.42,18.14,18.38,112462,0
JSW,5,20200907,111000,18.375,18.7,18.375,18.6,69327,0
JSW,5,20200907,111500,18.6,18.8,18.5,18.6,45849,0
JSW,5,20200907,112000,18.535,18.63,18.52,18.55,19909,0
JSW,5,20200907,112500,18.6,18.6,18.205,18.22,57466,0
JSW,5,20200907,113000,18.22,18.6,18.2,18.59,51682,0
JSW,5,20200907,113500,18.54,18.72,18.435,18.705,58127,0
JSW,5,20200907,114000,18.705,18.84,18.7,18.72,27318,0
JSW,5,20200907,114500,18.72,18.775,18.58,18.68,58534,0
JSW,5,20200907,115000,18.585,18.6,18.5,18.59,26311,0
JSW,5,20200907,115500,18.58,18.58,18.4,18.4,16100,0
JSW,5,20200907,120000,18.46,18.595,18.365,18.515,23190,0
JSW,5,20200907,120500,18.52,18.58,18.5,18.5,8548,0
JSW,5,20200907,121000,18.5,18.5,18.38,18.425,20759,0
JSW,5,20200907,121500,18.4,18.4,18.31,18.38,11605,0
JSW,5,20200907,122000,18.35,18.35,18.25,18.26,21812,0
JSW,5,20200907,122500,18.26,18.295,18.025,18.025,30115,0
JSW,5,20200907,123000,18.025,18.175,18,18.1,38235,0
JSW,5,20200907,123500,18.12,18.19,18.07,18.155,13681,0
JSW,5,20200907,124000,18.2,18.4,18.155,18.37,30734,0
JSW,5,20200907,124500,18.35,18.42,18.3,18.415,15832,0
JSW,5,20200907,125000,18.42,18.42,18.25,18.25,10831,0
JSW,5,20200907,125500,18.235,18.265,18.15,18.265,13826,0
JSW,5,20200907,130000,18.285,18.285,18.16,18.2,958,0
JSW,5,20200907,130500,18.18,18.385,18.18,18.36,7565,0
JSW,5,20200907,131000,18.31,18.43,18.31,18.43,10481,0
JSW,5,20200907,131500,18.45,18.65,18.45,18.645,33252,0
JSW,5,20200907,132000,18.6,18.6,18.505,18.59,10620,0
JSW,5,20200907,132500,18.55,18.59,18.5,18.5,9808,0
JSW,5,20200907,133000,18.505,18.54,18.495,18.5,6009,0
JSW,5,20200907,133500,18.495,18.58,18.495,18.58,9946,0
JSW,5,20200907,134000,18.525,18.585,18.51,18.55,2535,0
