<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH,5,20200907,090000,135.5,136.5,135.5,136.5,9279,0
KGH,5,20200907,090500,136.45,136.45,136,136.2,1867,0
KGH,5,20200907,091000,136.2,136.4,136.15,136.3,777,0
KGH,5,20200907,091500,136.3,136.3,135.5,135.7,4100,0
KGH,5,20200907,092000,135.7,136.3,135.7,136.3,2274,0
KGH,5,20200907,092500,136.3,136.45,136.3,136.4,1541,0
KGH,5,20200907,093000,136.45,137.1,136.45,136.75,6149,0
KGH,5,20200907,093500,136.75,136.85,136.6,136.8,3720,0
KGH,5,20200907,094000,136.85,137.3,136.85,137.3,2837,0
KGH,5,20200907,094500,137.25,137.3,136.9,136.9,3415,0
KGH,5,20200907,095000,136.9,137.15,136.9,137.15,1289,0
KGH,5,20200907,095500,137.1,137.1,136.85,136.85,892,0
KGH,5,20200907,100000,136.8,137.45,136.8,137.3,3961,0
KGH,5,20200907,100500,137.25,137.35,137.05,137.05,1191,0
KGH,5,20200907,101000,137.05,137.2,137.05,137.2,1069,0
KGH,5,20200907,101500,137.2,137.2,136.85,136.85,1065,0
KGH,5,20200907,102000,136.85,137,136.7,137,3592,0
KGH,5,20200907,102500,136.95,137,136.95,137,1258,0
KGH,5,20200907,103000,136.95,137.15,136.9,137.05,6232,0
KGH,5,20200907,103500,137.05,137.3,137,137.25,10643,0
KGH,5,20200907,104000,137.2,137.2,137.05,137.05,2586,0
KGH,5,20200907,104500,137.05,137.1,137,137,2318,0
KGH,5,20200907,105000,137,137,136.9,136.9,1877,0
KGH,5,20200907,105500,136.9,137,136.85,137,741,0
KGH,5,20200907,110000,136.9,136.9,136.8,136.9,959,0
KGH,5,20200907,110500,136.8,136.95,136.8,136.95,1467,0
KGH,5,20200907,111000,136.9,136.9,136.9,136.9,749,0
KGH,5,20200907,111500,136.95,137,136.95,137,1309,0
KGH,5,20200907,112000,136.9,137,136.9,137,1431,0
KGH,5,20200907,112500,137,137.15,136.95,137,4446,0
KGH,5,20200907,113000,136.95,137.15,136.95,137.05,2261,0
KGH,5,20200907,113500,137.05,137.15,137.05,137.15,900,0
KGH,5,20200907,114000,137.1,137.15,136.95,136.95,4055,0
KGH,5,20200907,114500,136.95,137,136.9,137,3181,0
KGH,5,20200907,115000,136.95,137,136.95,137,1103,0
KGH,5,20200907,115500,136.95,136.95,136.8,136.8,2593,0
KGH,5,20200907,120000,136.8,136.9,136.8,136.85,1049,0
KGH,5,20200907,120500,136.9,136.9,136.85,136.85,2274,0
KGH,5,20200907,121000,136.8,137,136.75,136.75,13145,0
KGH,5,20200907,121500,136.7,136.9,136.7,136.9,927,0
KGH,5,20200907,122000,136.9,136.9,136.7,136.7,2538,0
KGH,5,20200907,122500,136.75,136.9,136.75,136.9,2817,0
KGH,5,20200907,123000,136.9,136.9,136.85,136.85,4953,0
KGH,5,20200907,123500,136.85,136.9,136.8,136.85,18472,0
KGH,5,20200907,124000,136.85,136.85,136.8,136.85,4178,0
KGH,5,20200907,124500,136.85,136.85,136.8,136.8,24321,0
KGH,5,20200907,125000,136.8,136.85,136.8,136.8,2590,0
KGH,5,20200907,125500,136.8,136.8,136.75,136.75,2616,0
KGH,5,20200907,130000,136.75,136.85,136.5,136.5,15603,0
KGH,5,20200907,130500,136.5,136.55,136.45,136.45,2954,0
KGH,5,20200907,131000,136.6,136.6,136.5,136.55,3418,0
KGH,5,20200907,131500,136.65,136.65,136.4,136.4,5120,0
KGH,5,20200907,132000,136.4,136.8,136.4,136.8,3394,0
KGH,5,20200907,132500,136.85,136.85,136.55,136.65,5584,0
KGH,5,20200907,133000,136.8,136.8,136.65,136.65,2115,0
KGH,5,20200907,133500,136.75,136.8,136.7,136.75,3180,0
KGH,5,20200907,134000,136.8,136.85,136.7,136.7,4037,0
KGH,5,20200907,134500,136.75,136.8,136.7,136.75,2106,0
KGH,5,20200907,135000,136.75,136.75,136.6,136.6,2504,0
KGH,5,20200907,135500,136.6,136.65,136.5,136.5,902,0
KGH,5,20200907,140000,136.5,136.65,136.5,136.65,2853,0
KGH,5,20200907,140500,136.65,136.85,136.65,136.8,2336,0
KGH,5,20200907,141000,136.7,136.7,136.6,136.6,2200,0
KGH,5,20200907,141500,136.7,136.85,136.55,136.65,4960,0
KGH,5,20200907,142000,136.55,136.65,136.55,136.65,1209,0
KGH,5,20200907,142500,136.6,136.7,136.55,136.6,2167,0
KGH,5,20200907,143000,136.65,136.7,136.55,136.55,1177,0
KGH,5,20200907,143500,136.5,136.7,136.5,136.65,1999,0
KGH,5,20200907,144000,136.7,136.85,136.65,136.75,5744,0
KGH,5,20200907,144500,136.75,136.85,136.75,136.85,251,0
KGH,5,20200907,145000,136.8,136.85,136.8,136.8,997,0
KGH,5,20200907,145500,136.85,136.85,136.75,136.8,3896,0
KGH,5,20200907,150000,136.8,136.85,136.8,136.8,5824,0
KGH,5,20200907,150500,136.75,136.75,136.7,136.75,2003,0
KGH,5,20200907,151000,136.7,136.8,136.7,136.75,26313,0
KGH,5,20200907,151500,136.75,136.8,136.75,136.75,2268,0
KGH,5,20200907,152000,136.8,136.85,136.7,136.7,6745,0
KGH,5,20200907,152500,136.75,136.85,136.75,136.8,4896,0
KGH,5,20200907,153000,136.8,136.85,136.75,136.75,5000,0
KGH,5,20200907,153500,136.75,136.85,136.75,136.75,1567,0
KGH,5,20200907,154000,136.75,136.9,136.75,136.9,15609,0
KGH,5,20200907,154500,136.85,136.85,136.75,136.8,5702,0
KGH,5,20200907,155000,136.8,136.8,136.75,136.75,28673,0
KGH,5,20200907,155500,136.8,136.8,136.6,136.7,6286,0
KGH,5,20200907,160000,136.6,136.7,136.55,136.7,4563,0
KGH,5,20200907,160500,136.75,136.9,136.7,136.8,5200,0
KGH,5,20200907,161000,136.8,137.05,136.8,137,26129,0
KGH,5,20200907,161500,137,137,136.8,136.95,12991,0
KGH,5,20200907,162000,136.9,136.95,136.85,136.85,7277,0
KGH,5,20200907,162500,136.8,137,136.75,136.95,6748,0
KGH,5,20200907,163000,136.9,136.95,136.75,136.95,9391,0
KGH,5,20200907,163500,136.9,136.95,136.85,136.9,10253,0
KGH,5,20200907,164000,136.95,137,136.9,137,7079,0
KGH,5,20200907,164500,136.95,137,136.9,137,83727,0
KGH,5,20200908,090000,137.5,138.1,137.4,137.6,20627,0
KGH,5,20200908,090500,137.75,138,136.7,136.7,9002,0
KGH,5,20200908,091000,136.85,137.5,136.75,137.45,2011,0
KGH,5,20200908,091500,137.4,137.5,136.7,136.7,5059,0
KGH,5,20200908,092000,136.75,136.75,136.65,136.65,10804,0
KGH,5,20200908,092500,136.5,136.6,136.4,136.6,5406,0
KGH,5,20200908,093000,136.6,136.75,136.55,136.65,938,0
KGH,5,20200908,093500,136.65,136.65,134.7,134.75,19460,0
KGH,5,20200908,094000,134.65,135.2,134.65,134.65,11272,0
KGH,5,20200908,094500,134.8,134.9,134.4,134.6,9479,0
KGH,5,20200908,095000,134.65,134.85,134.35,134.8,7903,0
KGH,5,20200908,095500,134.8,135.1,134.8,135.1,3535,0
KGH,5,20200908,100000,135.1,135.2,135,135.15,2456,0
KGH,5,20200908,100500,135.15,135.15,134.75,134.85,4906,0
KGH,5,20200908,101000,134.8,134.85,134.05,134.1,10364,0
KGH,5,20200908,101500,134.25,134.35,133.6,133.85,8661,0
KGH,5,20200908,102000,133.7,133.95,133.55,133.7,2535,0
KGH,5,20200908,102500,133.65,133.65,133.15,133.5,3094,0
KGH,5,20200908,103000,133.55,133.9,133.4,133.8,2185,0
KGH,5,20200908,103500,133.85,133.85,133.5,133.6,2879,0
KGH,5,20200908,104000,133.65,134.35,133.65,134.05,3100,0
KGH,5,20200908,104500,134.05,134.25,134,134,4931,0
KGH,5,20200908,105000,134,134.05,133.75,134,1663,0
KGH,5,20200908,105500,134.05,134.05,134,134,1527,0
KGH,5,20200908,110000,134,134.15,134,134.15,2099,0
KGH,5,20200908,110500,134.15,134.15,134,134,1336,0
KGH,5,20200908,111000,134.1,134.1,134,134,2946,0
KGH,5,20200908,111500,134,134.2,134,134,13435,0
KGH,5,20200908,112000,134.05,134.2,134.05,134.15,1259,0
KGH,5,20200908,112500,134.1,134.1,134,134.05,3343,0
KGH,5,20200908,113000,134,134,133.9,133.9,35906,0
KGH,5,20200908,113500,133.9,133.95,133.85,133.9,19002,0
KGH,5,20200908,114000,133.9,133.95,133.6,133.6,9737,0
KGH,5,20200908,114500,133.55,133.55,133.1,133.15,17594,0
KGH,5,20200908,115000,133.2,133.25,133.1,133.1,2942,0
KGH,5,20200908,115500,133.1,133.2,133.1,133.1,2120,0
KGH,5,20200908,120000,133.1,133.45,133.1,133.45,2781,0
KGH,5,20200908,120500,133.4,133.4,133.3,133.35,1328,0
KGH,5,20200908,121000,133.35,133.55,133.35,133.55,1515,0
KGH,5,20200908,121500,133.5,133.5,133.3,133.3,4698,0
KGH,5,20200908,122000,133.25,133.3,133.2,133.2,1058,0
KGH,5,20200908,122500,133.2,133.2,132.4,132.4,10984,0
KGH,5,20200908,123000,132.4,132.4,132.05,132.35,7527,0
KGH,5,20200908,123500,132.4,132.85,132.3,132.3,8020,0
KGH,5,20200908,124000,132.35,132.75,132.35,132.65,6477,0
KGH,5,20200908,124500,132.6,132.65,131.85,132.45,33615,0
KGH,5,20200908,125000,132.4,132.5,132.4,132.5,2044,0
KGH,5,20200908,125500,132.35,132.5,132.25,132.45,4346,0
KGH,5,20200908,130000,132.3,132.45,132.25,132.45,3302,0
KGH,5,20200908,130500,132.5,132.65,132.4,132.45,1751,0
KGH,5,20200908,131000,132.5,132.5,132.25,132.25,5306,0
KGH,5,20200908,131500,132.45,132.45,132.2,132.35,3467,0
KGH,5,20200908,132000,132.3,132.3,132,132.3,5595,0
KGH,5,20200908,132500,132.35,132.5,132.35,132.4,2859,0
KGH,5,20200908,133000,132.5,132.55,132.1,132.5,5147,0
KGH,5,20200908,133500,132.5,132.55,132.4,132.4,2512,0
