Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,1185.03,1204.33,1185.03,1204.33,73052416
2010-01-05,1205.63,1205.63,1204.5,1204.5,114173744
2010-01-06,1205.77,1206.81,1205.77,1206.81,76342096
2010-01-07,1205.33,1205.33,1204.19,1204.19,81149792
2010-01-08,1206.17,1209.97,1206.17,1209.97,78833032
2010-01-11,1212.58,1218.01,1212.58,1218.01,84528112
2010-01-12,1218.71,1218.71,1213.76,1213.76,87858352
2010-01-13,1213.13,1227.05,1213.13,1227.05,102314880
2010-01-14,1229.09,1235.92,1229.09,1235.92,115740432
2010-01-15,1238.05,1241.75,1238.05,1241.75,135691824
2010-01-18,1242.65,1253.87,1242.65,1253.87,171858576
2010-01-19,1253.95,1260.94,1253.95,1260.94,111307760
2010-01-20,1262.88,1270.32,1262.88,1270.32,126644328
2010-01-21,1270.96,1270.96,1266.97,1266.97,118469584
2010-01-22,1262.02,1262.02,1253.45,1253.45,138355200
2010-01-25,1252.9,1252.9,1250.89,1250.89,75421720
2010-01-26,1250.8,1250.8,1237.66,1237.66,88346712
2010-01-27,1237.71,1239.74,1237.71,1239.74,80321352
2010-01-28,1242.57,1244.21,1242.57,1244.21,78151040
2010-01-29,1242.32,1246.57,1242.32,1246.57,53273032
2010-02-01,1246.31,1246.31,1244.44,1244.44,44583116
2010-02-02,1246.02,1248.11,1246.02,1248.11,62693976
2010-02-03,1252.57,1256.38,1252.57,1256.38,67707864
2010-02-04,1257.35,1257.35,1240.69,1240.69,86934680
2010-02-05,1239.17,1239.17,1217.01,1217.01,127834336
2010-02-08,1215.67,1215.67,1214.02,1214.02,75291080
2010-02-09,1215.3,1224.74,1215.3,1224.74,63949736
2010-02-10,1225.46,1232.94,1225.46,1232.94,131748472
2010-02-11,1234.96,1234.96,1223.63,1223.63,234614656
2010-02-12,1225.42,1232.59,1225.42,1232.59,98687120
2010-02-15,1233.22,1235.13,1233.22,1235.13,59761780
2010-02-16,1236.13,1236.13,1233.49,1233.49,113097712
2010-02-17,1233.85,1243.07,1233.85,1243.07,111961624
2010-02-18,1243.5,1243.5,1241.95,1241.95,111825288
2010-02-19,1237.94,1241.09,1237.94,1241.09,79168736
2010-02-22,1244.39,1246.95,1244.39,1246.95,69064696
2010-02-23,1248.45,1248.45,1246.12,1246.12,111509024
2010-02-24,1243.26,1249.62,1243.26,1249.62,62330572
2010-02-25,1249.86,1249.86,1246.91,1246.91,112442592
2010-02-26,1246.21,1257.99,1246.21,1257.99,105160544
2010-03-01,1258.22,1262.82,1258.22,1262.82,61199616
2010-03-02,1262.05,1274.06,1262.05,1274.06,102885424
2010-03-03,1274.28,1277.64,1274.28,1277.64,131836000
2010-03-04,1277.05,1286.53,1277.05,1286.53,223170560
2010-03-05,1288,1296.2,1288,1296.2,123264064
2010-03-08,1299.66,1304.73,1299.66,1304.73,75112552
2010-03-09,1304.78,1307.11,1304.78,1307.11,75789512
2010-03-10,1306.72,1325.02,1306.72,1325.02,177593584
2010-03-11,1327.21,1331.76,1327.21,1331.76,127864736
2010-03-12,1333.76,1340.06,1333.76,1340.06,220160768
2010-03-15,1339.64,1344.34,1339.64,1344.34,190132656
2010-03-16,1343.92,1361.79,1343.92,1361.79,233488512
2010-03-17,1363.1,1372.05,1363.1,1372.05,247680576
2010-03-18,1372,1372,1361.79,1361.79,124360152
2010-03-19,1363.28,1363.28,1353.56,1353.56,306107936
2010-03-22,1353.85,1353.85,1347.8,1347.8,80158232
2010-03-23,1349.41,1353.43,1349.41,1353.43,162940592
2010-03-24,1354.54,1354.54,1354.3,1354.3,78570432
2010-03-25,1355.07,1363.64,1355.07,1363.64,124286280
2010-03-26,1364.13,1364.13,1363.57,1363.57,115919960
2010-03-29,1363.9,1366.78,1363.9,1366.78,75792784
2010-03-30,1366.08,1367.12,1366.08,1367.12,79866488
2010-03-31,1366.48,1366.48,1364.87,1364.87,114780216
2010-04-01,1365.85,1372.75,1365.85,1372.75,103053024
