Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-04,36.997,37.308,34.575,35.5,887323
2008-01-11,35.137,36.34,33.321,33.489,4737638
2008-01-18,33.321,33.808,28.181,30.368,4025234
2008-01-25,28.854,31.125,26.919,29.77,5588840
2008-02-01,29.367,32.639,28.77,32.639,2756327
2008-02-08,33.144,33.229,29.568,31.537,1715611
2008-02-15,31.597,32.976,30.284,30.612,1794984
2008-02-22,30.713,31.715,29.864,31.21,1732826
2008-02-29,31.529,31.638,28.205,28.273,1541570
2008-03-07,27.752,28.113,26.373,27.12,1881367
2008-03-14,26.953,29.435,26.499,29.064,2533038
2008-03-21,28.012,30.704,27.433,29.459,2084922
2008-03-28,30.789,31.967,30.309,30.586,1889475
2008-04-04,30.411,32.943,29.56,32.807,2280791
2008-04-11,33.135,33.178,29.611,29.905,1328036
2008-04-18,29.864,31.546,28.988,30.621,1284298
2008-04-25,30.621,30.882,28.265,29.107,925439
2008-05-02,29.695,30.898,29.695,30.839,560692
2008-05-09,31.73,32.892,30.713,32.219,1619119
2008-05-16,32.807,35.323,32.479,33.395,2637643
2008-05-23,33.438,33.648,31.117,32.042,1046775
2008-05-30,32.068,33.648,31.546,31.546,2141341
2008-06-06,31.975,33.817,31.167,32.513,1311176
2008-06-13,31.63,32.302,28.711,29.451,2387852
2008-06-20,29.544,30.746,27.845,27.886,2407731
2008-06-27,27.886,28.232,25.666,25.993,2139314
2008-07-04,26.078,26.238,23.857,23.975,1930958
2008-07-11,24.185,24.858,22.554,22.67,1572242
2008-07-18,22.797,23.134,20.829,21.451,1983174
2008-07-25,21.283,25.052,21.283,25.052,2319827
2008-08-01,24.985,25.237,23.899,24.715,1634621
2008-08-08,24.48,25.91,23.261,25.237,1592683
2008-08-15,24.985,25.228,22.418,22.713,1809349
2008-08-22,22.486,22.797,20.356,21.543,2404632
2008-08-29,21.543,21.62,20.114,21.03,1674907
2008-09-05,20.483,22.888,20.483,21.03,1525213
2008-09-12,21.451,22.427,20.77,21.199,1516597
2008-09-19,21.014,21.014,17.421,19.852,3462141
2008-09-26,18.97,19.852,18.112,19.348,3038649
2008-10-03,18.885,19.095,16.412,16.547,2280038
2008-10-10,15.345,16.311,13.46,14.638,4397820
2008-10-17,14.907,16.353,13.097,13.796,3974048
2008-10-24,14.292,15.815,11.945,12.366,4192621
2008-10-31,11.861,14.208,11.315,13.627,4698959
2008-11-07,13.746,14.208,12.308,12.787,2623689
2008-11-14,13.266,13.443,10.11,10.347,2388289
2008-11-21,10.095,10.81,8.9162,9.3206,2799982
2008-11-28,9.4216,13.443,9.4216,13.443,3977648
2008-12-05,13.174,13.838,12.071,13.334,2433182
