Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-31,11.74,12.189,10.426,11.943,204086735
2008-02-29,12.117,12.513,11.318,11.375,114614241
2008-03-31,11.214,12.132,10.999,11.527,125092383
2008-04-30,11.37,11.75,11.057,11.634,127962421
2008-05-30,11.813,12.125,11.394,11.444,76873355
2008-06-30,11.5,12.66,11.12,11.517,106630470
2008-07-31,11.634,13.386,11.634,12.821,125399111
2008-08-29,12.817,13.67,12.527,12.756,103697219
2008-09-30,12.611,13.313,11.773,12.738,162050206
2008-10-31,12.722,13.274,9.797,11.605,213341994
2008-11-28,11.412,11.712,10.322,10.881,159217719
2008-12-31,10.797,11.316,10.166,10.713,101695699
2009-01-30,11.164,11.791,10.952,11.019,72275548
2009-02-27,10.936,11.142,9.569,9.876,124635610
2009-03-31,9.725,11.16,9.709,10.49,104645723
2009-04-30,10.669,11.534,9.692,9.864,169139291
2009-05-29,9.96,10.128,9.0446,9.3192,159214865
2009-06-30,9.625,10.124,9.1541,9.3746,120527381
2009-07-31,9.551,9.947,8.8428,9.0815,160241830
2009-08-31,9.0749,10.429,8.7212,9.819,163633101
2009-09-30,9.886,10.41,9.545,9.636,158664796
2009-10-30,9.636,11.74,9.575,10.429,158902864
2009-11-30,10.374,10.546,9.575,9.831,86589719
2009-12-31,9.936,10.581,9.618,9.679,81161808
2010-01-29,9.758,10.307,9.698,9.908,64137578
2010-02-26,9.838,9.941,9.1111,9.4414,96730576
2010-03-31,9.545,10.289,9.2276,9.889,127620311
2010-04-30,10.131,10.185,9.775,9.788,86100787
2010-05-31,9.868,9.868,9.2095,9.4767,129136607
2010-06-30,9.4529,9.875,9.3679,9.65,194062428
2010-07-30,9.552,10.732,9.545,10.732,148502084
2010-08-31,10.792,11.664,10.711,11.561,120547413
2010-09-30,11.48,12.128,10.981,12.128,98387486
2010-10-29,12.107,12.715,11.643,12.243,110915414
2010-11-30,12.169,12.445,10.908,10.908,78591223
2010-12-31,11.19,11.717,10.921,11.028,66620233
2011-01-31,11.096,12.142,10.476,11.334,94648018
