Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-04,11.74,12.189,11.74,11.971,17034500
2008-01-11,11.881,12.189,11.449,11.818,26978470
2008-01-18,11.913,11.913,10.426,10.968,61596136
2008-01-25,10.639,11.449,10.473,11.239,53727017
2008-02-01,11.011,12.513,10.948,12.297,49973644
2008-02-08,12.387,12.387,11.538,11.709,45699639
2008-02-15,11.657,12.36,11.579,12.148,25644016
2008-02-22,12.148,12.465,11.684,11.84,17399595
2008-02-29,11.981,12.309,11.318,11.375,20647960
2008-03-07,11.214,11.964,10.999,11.37,20868128
2008-03-14,11.475,12.132,11.313,11.735,21747838
2008-03-21,11.522,11.886,11.276,11.276,34727386
2008-03-28,11.621,11.621,11.229,11.291,41718957
2008-04-04,11.266,11.684,11.081,11.364,28478822
2008-04-11,11.443,11.709,11.239,11.291,28727627
2008-04-18,11.267,11.615,11.224,11.396,16170584
2008-04-25,11.449,11.449,11.057,11.313,27343652
2008-05-02,11.364,11.75,11.333,11.634,33271811
2008-05-09,11.813,12.064,11.63,11.756,22403721
2008-05-16,11.813,12.091,11.813,11.99,20863837
2008-05-23,12.125,12.125,11.394,11.689,13870980
2008-05-30,11.662,11.813,11.412,11.444,19734817
2008-06-06,11.5,11.857,11.382,11.573,8499640
2008-06-13,11.467,12.118,11.12,12.114,21576640
2008-06-20,12.17,12.66,11.868,11.884,48491521
2008-06-27,11.99,12.063,11.522,11.634,21991935
2008-07-04,11.829,12.387,11.517,12.259,30934197
2008-07-11,12.197,12.544,11.834,12.247,30885114
2008-07-18,12.275,12.443,11.634,12.024,20051054
2008-07-25,11.913,12.554,11.913,12.387,21679608
2008-08-01,12.297,13.386,12.28,13.006,32818184
2008-08-08,12.889,13.67,12.722,12.827,25760724
2008-08-15,12.838,13.112,12.694,12.805,20823904
2008-08-22,12.827,12.972,12.56,12.756,32339191
2008-08-29,12.889,12.889,12.527,12.756,19875090
2008-09-05,12.611,13.168,12.611,12.889,27855437
2008-09-12,13.168,13.313,12.443,12.554,31192791
2008-09-19,12.387,12.627,11.773,12.443,50826751
2008-09-26,12.611,12.923,11.779,12.527,38270033
2008-10-03,12.415,13.274,12.293,12.666,26985017
2008-10-10,12.599,12.861,11.561,11.952,42776632
2008-10-17,12.164,12.694,10.825,11.382,45981339
2008-10-24,11.544,11.829,9.904,10.451,65603434
2008-10-31,10.038,11.773,9.797,11.605,45900768
2008-11-07,11.412,11.712,10.997,11.432,39897513
2008-11-14,11.578,11.605,10.322,10.881,39548992
2008-11-21,10.874,11.042,10.351,10.774,43685722
2008-11-28,10.83,11.605,10.495,10.881,36085493
