Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,5491.16,5543.22,5491.16,5543.22,1715545
2012-01-03,5534.19,5562.69,5524.79,5562.69,6123205
2012-01-04,5460.46,5467.56,5439.03,5467.56,39686354
2012-01-05,5301.64,5366.81,5301.64,5366.81,15408692
2012-01-09,5285.61,5285.61,5251.99,5266.91,8179927
2012-01-10,5348.34,5354.5,5320.4,5320.4,7874295
2012-01-11,5324.25,5324.25,5227.82,5227.82,7037761
2012-01-12,5298.61,5314.49,5298.61,5303.6,13107377
2012-01-13,5360.83,5360.83,5328.19,5346.72,6166912
2012-01-16,5327.59,5390.98,5327.59,5390.98,8733609
2012-01-17,5545.63,5545.63,5487.27,5487.27,7504877
2012-01-18,5542.6,5556.21,5542.6,5556.21,9500087
2012-01-19,5511.16,5640.58,5511.16,5640.58,14492711
2012-01-20,5639.24,5679.1,5639.24,5674.22,28949569
2012-01-23,5702.04,5762.3,5702.04,5744.04,13064449
2012-01-24,5717.78,5717.78,5699.47,5699.47,24462276
2012-01-25,5700.33,5700.33,5669.58,5685,14876543
2012-01-26,5868.18,5969.64,5868.18,5913.59,26377182
2012-01-27,5956.84,5956.84,5892.32,5914.86,24248500
2012-01-30,5877.03,5913.98,5853.11,5913.98,4405666
2012-01-31,5936.63,6031.18,5936.63,5952.73,21905316
2012-02-01,6054.52,6077.87,6053.8,6077.87,12878031
2012-02-02,6085.41,6103.34,6085.41,6093.46,9728211
2012-02-03,6110.8,6176.06,6096.17,6096.17,10780690
2012-02-06,6093.1,6151.02,6093.1,6151.02,7611575
2012-02-07,6156.91,6156.91,6074.52,6091.31,8158698
2012-02-08,6106.48,6110.68,6101.16,6101.16,9628261
2012-02-09,6129.74,6129.74,6086.84,6086.84,7573818
2012-02-10,6020.44,6020.44,5972.15,5972.15,7986550
2012-02-13,6039.17,6054.8,6039.17,6054.8,5599362
2012-02-14,6040.05,6040.05,5998.51,5998.51,6913695
2012-02-15,6066.35,6066.35,6047.88,6048.29,5243098
2012-02-16,5995.88,6043.58,5995.88,6027.74,5545557
2012-02-17,6069.27,6092.12,6069.27,6092.12,9586635
2012-02-20,6115.48,6123.68,6052.31,6052.31,4075967
2012-02-21,6064.03,6078.54,6064.03,6078.54,5002661
2012-02-22,6047.27,6047.27,5967.09,5976.42,13475614
2012-02-23,5994.98,5994.98,5892.82,5892.82,6066624
2012-02-24,5944.98,5944.98,5881.88,5881.88,8641363
2012-02-27,5857.01,5918.13,5851.61,5918.13,7167035
2012-02-28,5941.79,5941.79,5923.75,5923.75,14514974
2012-02-29,5964.83,5964.83,5920.13,5920.13,7696579
2012-03-01,5902.58,5964.99,5902.58,5964.99,4627699
2012-03-02,5938.88,5978.24,5938.88,5978.24,11109455
2012-03-05,5927.99,5927.99,5812.41,5812.41,11093159
2012-03-06,5777.15,5777.15,5734.71,5734.71,6857396
2012-03-07,5737.88,5814.27,5737.88,5814.27,4879227
2012-03-08,5859.29,5954.18,5859.29,5954.18,13820555
2012-03-09,5979.43,5979.43,5926.7,5926.7,9630768
2012-03-12,5942.03,5942.03,5924.19,5937.15,3372274
2012-03-13,5967.15,5973.23,5927.39,5973.23,7163280
2012-03-14,6063.73,6088.06,6063.73,6088.06,14594596
2012-03-15,6087.49,6116.99,6061.16,6116.99,5701741
2012-03-16,6107.46,6107.46,6024.9,6024.9,20082609
2012-03-19,5998.51,5998.51,5972.45,5972.45,8242940
2012-03-20,5923.08,5939.42,5923.08,5928.31,6928391
2012-03-21,5971.52,5971.52,5921.14,5925.13,3553888
2012-03-22,5855.09,5855.09,5837.41,5837.41,5549730
2012-03-23,5812.78,5897.48,5804.83,5897.48,7096259
