Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,2458.6,2480.44,2458.6,2480.44,8791648
2012-01-03,2476.2,2493.58,2476.2,2493.58,9634641
2012-01-04,2495.67,2495.67,2485.86,2491.05,3643526
2012-01-05,2442.55,2486.62,2442.55,2486.62,4958029
2012-01-09,2486.54,2499.77,2483.69,2483.69,4706914
2012-01-10,2553.03,2597.21,2553.03,2594.01,14815572
2012-01-11,2636.79,2636.79,2604.93,2613.86,8777061
2012-01-12,2638.48,2638.48,2624.15,2628.77,9455594
2012-01-13,2636.04,2636.04,2584.75,2584.75,7435207
2012-01-16,2590.37,2614.74,2590.37,2614.74,3124105
2012-01-17,2651.69,2651.69,2644.67,2644.67,4225287
2012-01-18,2657.8,2662.87,2649.27,2649.27,4163787
2012-01-19,2616.64,2634.34,2616.64,2634.34,8549254
2012-01-20,2608.99,2608.99,2595.04,2595.04,4879278
2012-01-23,2596.53,2613.76,2596.53,2613.76,3668281
2012-01-24,2619.85,2619.85,2612.06,2612.06,2227682
2012-01-25,2617.19,2628.05,2617.19,2620.47,4352240
2012-01-26,2675.77,2702.35,2675.77,2682.79,6337151
2012-01-27,2698.89,2698.89,2686.84,2686.84,3619039
2012-01-30,2658.82,2690.3,2658.82,2690.3,2516377
2012-01-31,2730.29,2746.51,2730.29,2746.51,8876583
2012-02-01,2785.58,2785.58,2770.9,2779.49,8389317
2012-02-02,2786.92,2787.84,2779.23,2787.84,10433730
2012-02-03,2789.1,2823.14,2789.1,2822.71,5786741
2012-02-06,2805.26,2853.97,2805.26,2853.97,5013934
2012-02-07,2865.94,2879.86,2859.41,2879.86,7894420
2012-02-08,2909.51,2909.51,2879.34,2879.34,8853395
2012-02-09,2882.01,2882.01,2845.36,2845.36,8740394
2012-02-10,2788.57,2819.88,2788.57,2819.88,7159041
2012-02-13,2867.6,2867.6,2866.37,2867.22,3794721
2012-02-14,2861.07,2861.07,2850.73,2858.22,3811448
2012-02-15,2892.48,2912.48,2892.48,2912.48,10483171
2012-02-16,2888.8,2905.17,2888.8,2905.17,7035094
2012-02-17,2951.83,2956.18,2951.23,2956.18,9108301
2012-02-20,2956.76,2956.76,2921.46,2921.46,6276259
2012-02-21,2913.31,2913.31,2901.55,2903.08,4212671
2012-02-22,2851.36,2861.8,2847.07,2861.8,6251692
2012-02-23,2856.94,2856.94,2811.68,2811.68,4091654
2012-02-24,2808.88,2808.88,2784.88,2785.87,5438159
2012-02-27,2799.67,2799.67,2782.61,2798.91,2437655
2012-02-28,2792.43,2794.31,2792.07,2792.07,2786257
2012-02-29,2789.63,2789.63,2762.43,2762.43,4353278
2012-03-01,2742.44,2742.44,2716.98,2720.22,5734939
2012-03-02,2717.81,2730.59,2717.81,2724.2,3691450
2012-03-05,2684.69,2698.13,2673,2673,3086519
2012-03-06,2634.23,2634.23,2603.56,2603.56,5024286
2012-03-07,2586.59,2644.1,2586.59,2644.1,4785495
2012-03-08,2673.5,2673.5,2612.07,2612.07,20377518
2012-03-09,2621.76,2621.76,2608.02,2608.43,4629093
2012-03-12,2573.05,2573.05,2525.77,2525.77,7751682
2012-03-13,2549.68,2549.68,2518.41,2518.41,6030602
2012-03-14,2533.19,2533.19,2512.79,2512.79,8527723
2012-03-15,2526.45,2538.43,2519.05,2538.43,6820444
2012-03-16,2536.65,2536.65,2529.68,2529.68,6249318
2012-03-19,2537.79,2537.79,2496.35,2496.35,2884254
2012-03-20,2516.15,2516.15,2485.62,2485.62,5182766
2012-03-21,2453.57,2453.57,2430.73,2439.21,17450950
2012-03-22,2344.14,2344.14,2335.26,2335.26,18605191
2012-03-23,2333.8,2361.09,2330.16,2361.09,12199866
2012-03-26,2367.43,2378.9,2366.89,2366.89,5070692
2012-03-27,2386.65,2420.24,2386.65,2415.01,11119261
2012-03-28,2418.95,2418.95,2412.84,2412.84,6072434
2012-03-29,2392.58,2392.58,2369.17,2369.17,4992960
2012-03-30,2373.5,2373.5,2371.62,2371.62,4175109
2012-04-02,2375.65,2395.16,2371.14,2395.16,2893358
2012-04-03,2395.26,2395.26,2368.17,2368.17,4503549
2012-04-04,2331.6,2331.6,2294.08,2294.22,7127577
2012-04-05,2286.71,2293.29,2277.26,2293.29,4823866
2012-04-10,2280.97,2280.97,2246.09,2246.09,4459971
2012-04-11,2232.39,2253.84,2232.39,2253.84,5366150
2012-04-12,2257.96,2266.56,2252.66,2266.56,3703718
2012-04-13,2254.13,2254.13,2243.39,2243.39,4710600
2012-04-16,2226.02,2226.02,2218.55,2218.55,3341194
2012-04-17,2233.98,2237.33,2231.98,2231.98,4748745
2012-04-18,2222.47,2222.47,2199.42,2199.42,5257630
2012-04-19,2169.1,2169.1,2126.55,2126.55,15163928
2012-04-20,2076.23,2076.23,2056.95,2056.95,22311557
2012-04-23,1976.07,1976.07,1891.61,1891.61,35114811
2012-04-24,1912.97,1963.11,1881.78,1963.11,39566835
2012-04-25,1974.75,1997.04,1971.43,1971.43,32110865
2012-04-26,1996.61,1996.61,1984.33,1984.33,32870993
2012-04-27,1981.34,1988.8,1973.47,1988.8,12171720
2012-04-30,2030.29,2030.29,2023.49,2024.86,10561830
2012-05-02,2030.87,2037.79,2019.23,2037.79,4237121
2012-05-04,2038.94,2038.94,2020.77,2020.77,3443259
2012-05-07,2012.75,2043.61,2012.75,2043.61,12438778
2012-05-08,2057.71,2080.98,2057.71,2061.06,31291428
2012-05-09,2071.17,2071.17,2042.3,2050.36,23587825
2012-05-10,2046.41,2048.77,2042.14,2042.14,20788768
2012-05-11,2030.6,2030.6,2012.28,2029.18,20606200
2012-05-14,1966.63,1985.3,1966.63,1985.3,17783210
2012-05-15,1978.41,1978.41,1948.72,1948.72,12803272
2012-05-16,1865.68,1912.27,1865.68,1912.27,16598385
2012-05-17,1901.1,1901.1,1862.72,1862.72,14738719
2012-05-18,1867.55,1889.01,1867.55,1889.01,14005497
2012-05-21,1908.54,1939.61,1908.54,1939.61,14256556
2012-05-22,1935.44,1961.3,1934.47,1961.3,14037938
2012-05-23,1920.88,1933.01,1920.88,1923.15,11583796
2012-05-24,1932.95,1934.51,1923.95,1923.95,11773094
2012-05-25,1937.18,1937.18,1921.69,1926.69,10275264
2012-05-28,1928.07,1963.09,1928.07,1963.09,15429283
2012-05-29,1951.48,1972.53,1951.48,1972.53,11541727
2012-05-30,1949,1951.8,1944.41,1944.41,10519638
2012-05-31,1950.29,1953.76,1939.74,1953.76,6407964
2012-06-01,1935.92,1935.92,1911.21,1911.21,6630345
2012-06-04,1903.34,1903.34,1835.62,1835.62,12306920
2012-06-05,1744.24,1749.53,1744.24,1748.39,22933460
2012-06-06,1739.11,1772.4,1739.11,1772.4
2012-06-08,1747.53,1747.53,1743.02,1744.51,12776181
2012-06-11,1748.05,1760.04,1748.05,1760.04,9147144
2012-06-12,1783.85,1783.85,1774.35,1774.35,19681082
2012-06-13,1764.28,1770.81,1761.39,1761.39,9952625
2012-06-14,1752.75,1752.75,1726.1,1726.1,5224794
2012-06-15,1725.66,1738.73,1725.66,1738.73,11513555
2012-06-18,1750.27,1758,1750.27,1758,4449464
2012-06-19,1751.75,1758.64,1748.51,1758.64,9259277
2012-06-20,1783.79,1792.07,1754.49,1754.49,16062779
2012-06-21,1729.31,1729.31,1689.41,1689.41,44799725
2012-06-22,1684.74,1690.47,1681.21,1690.47,12329266
2012-06-25,1689.15,1690.28,1681.81,1681.81,6696787
2012-06-26,1679.84,1690.75,1679.84,1682.37,7552011
2012-06-27,1678.97,1678.97,1674.99,1675.17,24288399
2012-06-28,1588.96,1590.38,1556.71,1556.71,30407150
2012-06-29,1568.03,1602.22,1568.03,1602.22,22393086
2012-07-02,1609.18,1629.31,1609.18,1623.3,20314133
2012-07-03,1625.26,1625.26,1603.14,1605.88,12961043
2012-07-04,1594.05,1620.32,1594.05,1620.32,19744036
2012-07-05,1630.33,1647.55,1630.33,1647.55,22581113
2012-07-06,1649.52,1653.02,1647.25,1653.02,6448466
2012-07-09,1638.36,1648.24,1638.36,1648.24,5905316
2012-07-10,1633.74,1651.55,1633.74,1651.55,10655864
2012-07-11,1632.56,1636.58,1632.56,1636.58,17203744
2012-07-12,1605.9,1605.9,1586.26,1586.26,16723764
2012-07-13,1583.74,1583.74,1540.24,1540.24,19398686
2012-07-16,1536.32,1536.32,1525.48,1525.48,11315837
2012-07-17,1543,1549.54,1525.71,1549.54,14269120
2012-07-18,1516.74,1516.74,1495.38,1507.44,22312286
2012-07-19,1492.59,1493.95,1489.26,1489.26,33238821
2012-07-20,1475.74,1482.21,1475.74,1478.22,20536263
2012-07-23,1487.03,1487.03,1456.5,1480.87,23835430
2012-07-24,1434.63,1462.81,1434.63,1462.81,18486046
2012-07-25,1490.81,1490.81,1485.13,1485.13,36323444
2012-07-26,1484.3,1494.54,1484.3,1494.54,15104781
2012-07-27,1502.4,1512.03,1502.4,1506.29,19404439
2012-07-30,1501.92,1501.92,1492.28,1492.28,7110831
2012-07-31,1472.56,1479.06,1472.56,1473.46,9980041
2012-08-01,1455.98,1479.87,1453.24,1479.87,2772972
2012-08-02,1481.8,1481.8,1470.13,1470.13,6403103
2012-08-03,1468.04,1470.12,1443.88,1470.12,3783281
2012-08-06,1467.31,1479.26,1465.1,1479.26,7403154
2012-08-07,1467.88,1496.92,1467.88,1496.92,22186724
2012-08-08,1491.19,1491.19,1475.73,1475.73,11457111
2012-08-09,1475.45,1478.53,1475.45,1478.53,5133672
2012-08-10,1470.33,1470.33,1458.94,1458.94,3958819
2012-08-13,1461.37,1467.28,1461.37,1465.35,3933279
2012-08-14,1471.67,1471.67,1456.4,1456.4,5878796
2012-08-16,1465.94,1469.87,1454.16,1469.87,2003018
2012-08-17,1464.48,1464.48,1445.88,1445.88,6212298
2012-08-20,1431.17,1431.17,1420.53,1420.53,7035265
2012-08-21,1432.24,1432.24,1418.15,1422.56,9893618
2012-08-22,1428.64,1430.94,1424.41,1430.94,9581273
2012-08-23,1428.54,1428.54,1427.19,1427.74,5404770
2012-08-24,1393.66,1397.69,1393.66,1397.17,7129661
2012-08-27,1394.09,1399.11,1394.09,1399.11,4956399
2012-08-28,1388.72,1388.72,1381.73,1387.15,7563375
2012-08-29,1364.05,1364.05,1350.89,1354.38,20874444
2012-08-30,1339.87,1354.1,1339.87,1354.1,9177292
2012-08-31,1356.18,1372.2,1356.18,1370.28,11960530
2012-09-03,1373.9,1380.37,1373.9,1380.37,13928720
2012-09-04,1393.35,1393.35,1361.43,1368.24,7682540
2012-09-05,1366.2,1385.91,1361.44,1385.91,7536197
2012-09-06,1400.11,1405.1,1400.07,1405.1,17463638
2012-09-07,1402.53,1402.53,1391.37,1391.37,8150860
2012-09-10,1392.22,1401.05,1392.22,1396.61,6574047
2012-09-11,1391.07,1391.07,1391.07,1391.07,4426434
2012-09-12,1396.1,1397.49,1390.53,1397.49,4621905
2012-09-13,1397.09,1400.84,1397.09,1400.84,4331993
