Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,6166.61,6176.17,6147.8,6147.8,414471
2012-01-03,6138.54,6145.82,6113.03,6145.82,281852
2012-01-04,6124.02,6124.02,6072.89,6072.89,1432858
2012-01-05,6001.14,6022.8,6001.14,6022.29,1289235
2012-01-09,5928.99,5950.33,5928.99,5950.33,1166835
2012-01-10,5919.19,5983.23,5919.19,5983.23,3354546
2012-01-11,6003.01,6003.01,5944.56,5944.56,2923632
2012-01-12,5982.54,6083.5,5982.54,6083.5,1050544
2012-01-13,6109.83,6109.83,6065.75,6068.03,525073
2012-01-16,6037.52,6072.87,6026.31,6072.87,540012
2012-01-17,6332.99,6365.35,6264.17,6365.35,2227876
2012-01-18,6354.18,6515.89,6354.18,6515.89,1446724
2012-01-19,6502.11,6564.18,6502.11,6564.18,1191271
2012-01-20,6529.84,6534.88,6529.84,6531.29,1416273
2012-01-23,6504.28,6525.36,6504.28,6513.48,565026
2012-01-24,6515.71,6542.35,6499.99,6542.35,791635
2012-01-25,6666.77,6676.23,6650.44,6650.44,1228291
2012-01-26,6833.91,6883.26,6833.91,6864.24,1251592
2012-01-27,6886.36,6886.36,6851.55,6851.55,419324
2012-01-30,6708.75,6856.94,6708.75,6856.94,969490
2012-01-31,7015.09,7033.67,7013.01,7033.67,1122805
2012-02-01,7028.37,7046.04,7022.98,7046.04,1244721
2012-02-02,7010.62,7069.53,7010.62,7020.54,891199
2012-02-03,7022.35,7030.59,7022.35,7027.43,609565
2012-02-06,6994.6,7019.02,6994.6,7012.85,743122
2012-02-07,7062.01,7062.01,6990.73,6990.73,1128978
2012-02-08,6987.94,6987.94,6951.2,6951.2,1612566
2012-02-09,6927.67,6927.67,6905.51,6905.51,1988624
2012-02-10,7054.89,7054.89,6980.14,7000.96,3868145
2012-02-13,7134.17,7134.17,7128.12,7128.69,2063752
2012-02-14,7172.87,7172.87,7089.1,7089.1,643729
2012-02-15,7153.02,7153.02,7068.35,7068.35,1041433
2012-02-16,6986.37,6998.95,6986.37,6998.95,990802
2012-02-17,6982.96,7028.43,6982.96,7028.43,975305
2012-02-20,7014.18,7046.12,7014.18,7034.06,1469542
2012-02-21,6979.22,7002.17,6979.22,7002.17,783828
2012-02-22,6941.03,6941.03,6905.32,6905.32,2056530
2012-02-23,6951.78,6951.78,6878.27,6878.27,339489
2012-02-24,6908.78,6943.19,6903.13,6943.19,241459
2012-02-27,6914.47,6914.47,6888.61,6888.61,225881
2012-02-28,6982.38,7013.11,6962.44,7013.11,1013905
2012-02-29,7057.4,7068.25,7040.23,7068.25,1159554
2012-03-01,7024.16,7024.16,7005.91,7021.96,636658
2012-03-02,7047.92,7062.22,7047.92,7062.22,654154
2012-03-05,7030.93,7063.99,7030.93,7063.99,459149
2012-03-06,6992.85,6992.85,6926.83,6926.83,1240367
2012-03-07,6898.16,6967.27,6898.16,6967.27,939846
2012-03-08,7089.98,7100.51,7046.72,7100.51,1289703
2012-03-09,7168.53,7179.93,7153.04,7179.93,827141
2012-03-12,7237.42,7264.4,7237.42,7239.62,1969615
2012-03-13,7298.12,7315.04,7264.78,7315.04,1457465
2012-03-14,7533.67,7536.69,7529.11,7536.69,2573050
2012-03-15,7792.44,7801.22,7767.73,7801.22,3357581
2012-03-16,7758.43,7758.43,7683.02,7738.72,9810974
2012-03-19,7644.8,7765.32,7644.8,7765.32,2830679
2012-03-20,7849.39,7849.39,7788.62,7788.62,4767135
2012-03-21,7905.8,7952.07,7905.8,7913.61,3031231
2012-03-22,7717.33,7757.91,7706.83,7757.91,3580060
2012-03-23,7767.41,7797.54,7767.41,7797.54,2641933
2012-03-26,7909.33,8077.15,7909.33,8077.15,2189099
2012-03-27,8275.83,8289.57,8145.98,8145.98,4242343
2012-03-28,8232.29,8232.29,8165.38,8204.91,2504973
2012-03-29,8194.17,8194.17,7885.89,7885.89,3292490
2012-03-30,7903.93,7994.65,7903.93,7944.08,3392229
2012-04-02,7994.23,8039.79,7994.23,8039.79,3679708
2012-04-03,8042.9,8087.22,8042.9,8087.22,862309
2012-04-04,7988.33,7988.33,7938.39,7938.39,1495408
2012-04-05,7905.71,8017.38,7897.26,8017.38,1709416
2012-04-10,7932.41,7955.08,7841.64,7841.64,1298896
2012-04-11,7707.43,8031.67,7707.43,8031.67,1707295
2012-04-12,8120.68,8309.69,8120.68,8309.69,2296900
2012-04-13,8233.31,8253.76,8233.31,8248.56,1062432
2012-04-16,8116.88,8146.38,8116.88,8131.34,701651
2012-04-17,8064.74,8185.2,8064.74,8185.2,2427934
2012-04-18,8138.09,8157.8,8128.53,8128.53,899411
2012-04-19,8045.34,8045.34,7939.29,8043.36,1448879
2012-04-20,8032.86,8048.09,8032.86,8048.09,1428076
2012-04-23,7743.3,7743.3,7681.52,7681.52,1394036
2012-04-24,7798.3,7798.3,7768.23,7791.41,1073506
2012-04-25,7932.66,8046.35,7932.66,7953.18,1516280
2012-04-26,8014.58,8047.08,7974.52,8047.08,770262
2012-04-27,7980.77,8104.79,7980.77,8104.79,1543456
2012-04-30,8146.45,8146.45,8015.85,8127.57,1690531
2012-05-02,8086.62,8136.17,8086.62,8136.17,737881
2012-05-04,8109.05,8134.86,8109.05,8134.86,1620921
2012-05-07,7991.82,8173.15,7991.82,8173.15,1654435
2012-05-08,8117.46,8201.13,8117.46,8136.01,2069241
2012-05-09,8250.68,8250.82,8201.17,8250.82,1401739
2012-05-10,8270.38,8396.22,8270.38,8396.22,2099103
2012-05-11,8332.42,8332.42,8295.72,8311.77,1041016
2012-05-14,8037.4,8063.2,8037.4,8063.2,1438627
2012-05-15,8081.94,8081.94,8027.47,8027.47,1233949
2012-05-16,8223.54,8245.36,8223.54,8245.36,2266657
2012-05-17,8277.81,8277.81,7959.66,7959.66,2228012
2012-05-18,8016.22,8105.84,8016.22,8042.91,2014221
2012-05-21,8183.62,8183.62,8130.25,8174.79,1178232
2012-05-22,8166.49,8256.12,8166.49,8256.12,1872656
2012-05-23,8044.07,8074.96,8044.07,8067.43,1200448
2012-05-24,8081.78,8107.69,8074.61,8074.61,1690514
2012-05-25,8097.53,8097.53,8048.99,8064.28,1311227
2012-05-28,8090.42,8090.42,7905.3,7905.3,1293208
2012-05-29,7842.28,8000.66,7842.28,8000.66,974696
2012-05-30,7963.48,7963.48,7896.35,7899.54,1711352
2012-05-31,7899.81,7926.08,7898.64,7898.64,4734814
2012-06-01,7794.57,7875.31,7728.99,7875.31,3266085
2012-06-04,7991.09,8036.59,7991.09,8014.59,1340743
2012-06-05,7995.13,8025.89,7990.2,7990.2,1215001
2012-06-06,8080.69,8080.69,8032.61,8073.46
2012-06-08,8035.49,8345.49,8035.49,8345.49,3815815
2012-06-11,8379.03,8408.61,8379.03,8408.61,2257642
2012-06-12,8468.47,8607.45,8468.47,8607.45,3775780
2012-06-13,8774.5,8774.5,8665.11,8665.11,3163724
2012-06-14,8520.88,8520.88,8472,8503.52,4492766
2012-06-15,8577.02,8577.02,8477.45,8477.45,21197461
2012-06-18,8513.45,8525,8508.23,8525,2652692
