Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,3871.39,3911.51,3871.39,3911.51,3353325
2012-01-03,3915.4,3989.29,3915.4,3989.29,6245531
2012-01-04,3955.33,3965.91,3952.03,3965.91,4650446
2012-01-05,3896.94,3924.4,3893.93,3924.4,3555372
2012-01-09,3877.42,3877.42,3852.6,3852.6,3811005
2012-01-10,3870.03,3873.13,3843.67,3843.67,6871897
2012-01-11,3857.99,3857.99,3838.41,3838.41,5277311
2012-01-12,3892.54,3892.54,3855.11,3855.11,3387380
2012-01-13,3860.37,3860.37,3814.53,3836.68,3290267
2012-01-16,3809.71,3820.84,3809.71,3820.84,6227235
2012-01-17,3830.36,3834.52,3776.87,3776.87,10132848
2012-01-18,3799.92,3829.93,3799.92,3829.93,5923640
2012-01-19,3835.14,3838.4,3812.25,3812.25,7199586
2012-01-20,3812.21,3838.91,3809.76,3838.91,5862856
2012-01-23,3828.22,3835.01,3828.22,3835.01,3237995
2012-01-24,3830.12,3834.27,3830.12,3834.27,4385638
2012-01-25,3821.35,3821.35,3787.76,3812.15,2691242
2012-01-26,3813.36,3827.53,3805.67,3805.67,7113196
2012-01-27,3819.78,3819.78,3794.87,3794.87,4525490
2012-01-30,3817.89,3858.27,3815.76,3858.27,3751652
2012-01-31,3842.28,3842.28,3836.29,3836.29,5730832
2012-02-01,3842.74,3858.91,3842.74,3852.08,3875337
2012-02-02,3849.45,3849.45,3808.59,3808.59,4241326
2012-02-03,3822.89,3822.89,3802.35,3802.35,3454950
2012-02-06,3824.54,3850.24,3824.54,3850.24,2528477
2012-02-07,3832.25,3832.25,3792.93,3792.93,4672204
2012-02-08,3809.95,3811.33,3809.95,3810,7470126
2012-02-09,3836.02,3836.02,3808.71,3827.7,5806863
2012-02-10,3828.05,3828.05,3810.51,3811.08,4330876
2012-02-13,3828.16,3838.31,3827.96,3838.31,1633400
2012-02-14,3831.49,3848.46,3831.49,3848.46,6551107
2012-02-15,3861.77,3872.06,3851.14,3872.06,4145739
2012-02-16,3859.55,3885.29,3851.91,3851.91,4637229
2012-02-17,3919.71,3955.33,3916.94,3955.33,3805726
2012-02-20,3941.47,3960.69,3880.42,3880.42,2831962
2012-02-21,3879.7,3879.7,3873.86,3873.86,2342389
2012-02-22,3876.39,3876.39,3841.84,3841.84,4341714
2012-02-23,3731.77,3731.77,3721.71,3727,17814337
2012-02-24,3779.9,3782.09,3768.45,3768.45,10473947
2012-02-27,3743.65,3743.65,3726.69,3726.69,5434508
2012-02-28,3748.47,3748.47,3738.64,3738.64,5537423
2012-02-29,3746.34,3746.34,3709.79,3709.79,12088093
2012-03-01,3696.23,3696.23,3695.17,3695.17,4564994
2012-03-02,3702.69,3734.52,3702.69,3729.06,2910567
2012-03-05,3692.86,3704.49,3692.86,3703.28,3991421
2012-03-06,3683.39,3690.93,3683.39,3685.5,5699834
2012-03-07,3680.01,3680.01,3647.12,3662.17,5813940
2012-03-08,3685.29,3685.29,3606.81,3632.06,11377061
2012-03-09,3625.31,3627.53,3623.37,3623.37,4108247
2012-03-12,3651.36,3678.03,3651.19,3678.03,5661328
2012-03-13,3682.31,3682.31,3661.79,3661.79,9900980
2012-03-14,3724.74,3724.74,3672.92,3672.92,7584910
2012-03-15,3681.15,3730.66,3681.15,3719.63,6781005
2012-03-16,3757.65,3773.83,3757.65,3773.83,19650629
2012-03-19,3746.42,3746.42,3738.78,3739.66,4837358
2012-03-20,3731.79,3731.79,3700.24,3700.24,3307724
2012-03-21,3709.03,3709.03,3684.74,3684.74,3410397
2012-03-22,3659.59,3659.59,3629.72,3629.72,3899720
2012-03-23,3619.93,3669.26,3619.93,3669.26,5732396
2012-03-26,3673.07,3702.42,3673.07,3698.01,3382962
2012-03-27,3706.65,3706.65,3673.55,3685.55,5492222
2012-03-28,3694.65,3694.65,3691.89,3693.88,3708104
2012-03-29,3664.59,3664.59,3639.07,3639.07,3982712
2012-03-30,3667.62,3669.64,3666.06,3666.06,10398758
2012-04-02,3668.61,3681,3668.61,3681,5232860
2012-04-03,3677.99,3691.76,3665.58,3665.58,4280854
2012-04-04,3655.25,3655.25,3634.78,3634.78,2607581
2012-04-05,3636.33,3636.33,3626.56,3629.95,1320490
2012-04-10,3605,3605,3549.61,3549.61,3944400
2012-04-11,3541.79,3568.2,3541.79,3568.2,5088706
2012-04-12,3572,3602.71,3572,3602.71,3777144
2012-04-13,3580.47,3582,3564.55,3564.55,5636518
2012-04-16,3562.25,3567.15,3562.25,3564.27,4975331
2012-04-17,3561.97,3561.97,3535.74,3535.74,4686181
2012-04-18,3518.7,3533.37,3518.7,3533.37,9345624
2012-04-19,3568.08,3573.72,3568.08,3572.44,6664489
2012-04-20,3571.62,3576.07,3557.1,3557.1,6650223
2012-04-23,3512.67,3512.67,3478,3478,5152714
2012-04-24,3436.13,3436.13,3429.03,3435.97,11346065
2012-04-25,3471.18,3481.68,3452.94,3452.94,10874803
2012-04-26,3466.09,3468.72,3466.09,3468.18,4275464
2012-04-27,3473.66,3479.75,3473.09,3479.75,3972137
2012-04-30,3501.85,3542.81,3501.85,3521.88,4109989
2012-05-02,3557.05,3557.05,3513.88,3513.88,3335268
2012-05-04,3527.47,3527.47,3482.13,3482.13,5874479
2012-05-07,3416.69,3504.4,3416.69,3504.4,6087271
2012-05-08,3473.22,3473.22,3415.43,3415.43,3603475
2012-05-09,3422.45,3422.45,3402.36,3402.36,4298200
2012-05-10,3463.8,3463.8,3445.24,3445.24,7537296
2012-05-11,3433.1,3470.23,3433.1,3470.23,3160840
2012-05-14,3425.94,3425.94,3398.98,3398.98,3353631
2012-05-15,3412.2,3412.2,3369.69,3397.14,6532395
2012-05-16,3367.02,3389.64,3367.02,3389.64,6674224
2012-05-17,3371.08,3371.75,3309.16,3309.16,5829124
2012-05-18,3305.34,3331.98,3305.34,3331.98,4972131
2012-05-21,3365.36,3365.36,3349.93,3349.93,3247911
2012-05-22,3317.69,3319.21,3310.36,3310.36,4089343
2012-05-23,3263.75,3263.75,3214.58,3214.58,6617260
2012-05-24,3169.47,3253.29,3169.47,3219.77,8590226
2012-05-25,3263.86,3263.86,3191.95,3191.95,5082706
2012-05-28,3230.19,3270.19,3230.19,3270.19,5562241
2012-05-29,3278.56,3315.21,3278.22,3315.21,3541882
2012-05-30,3274.11,3310.65,3274.11,3310.65,4642169
2012-05-31,3362.28,3406.36,3361.89,3406.36,7774192
2012-06-01,3379.49,3389.32,3369.82,3389.32,6440091
2012-06-04,3387.98,3387.98,3355.2,3356.63,2249512
2012-06-05,3299.01,3299.3,3288.28,3288.28,3260201
2012-06-06,3311.62,3445.13,3311.62,3445.13
2012-06-08,3491.8,3530.5,3459.61,3530.5,10639035
2012-06-11,3493.94,3534.54,3493.94,3527.62,5278851
2012-06-12,3538.6,3555.81,3538.6,3555.81,7436738
2012-06-13,3522.11,3533.86,3522.11,3527.48,6387685
2012-06-14,3514.71,3514.71,3496.68,3500.38,6622791
2012-06-15,3504.84,3554.5,3504.84,3515.29,35474255
2012-06-18,3505.41,3505.41,3496.22,3498.29,4544215
2012-06-19,3530.6,3593.23,3525.35,3593.23,4856705
2012-06-20,3584.77,3584.77,3574.87,3579.59,6343413
2012-06-21,3549.12,3566.01,3549.12,3566.01,4049675
2012-06-22,3548.82,3553.18,3548.82,3553.18,3996353
2012-06-25,3519.86,3525.67,3502.36,3502.36,2590607
2012-06-26,3562.58,3577.49,3560,3577.49,5045007
2012-06-27,3552.9,3565.26,3545.7,3565.26,3549160
2012-06-28,3557.07,3562.12,3555.96,3562.12,3316322
2012-06-29,3591.53,3612.05,3581.17,3612.05,3836862
2012-07-02,3613.25,3613.25,3597.34,3597.34,2142656
2012-07-03,3591.32,3591.32,3569.67,3581.83,3395226
2012-07-04,3557.01,3557.01,3531.48,3531.48,1890210
2012-07-05,3574.54,3574.54,3569.01,3573.81,3934747
2012-07-06,3559.88,3559.88,3528.51,3528.51,4514636
2012-07-09,3515.55,3516.93,3513.46,3516.93,4767893
2012-07-10,3535.68,3546.89,3535.68,3546.89,2620939
2012-07-11,3546.19,3571.25,3546.19,3571.25,4252856
2012-07-12,3566.86,3566.86,3528.29,3528.29,4800354
2012-07-13,3580.07,3603.45,3580.07,3603.45,4670371
2012-07-16,3596.65,3612.41,3587.83,3612.41,3068327
2012-07-17,3601.21,3617.19,3597.81,3617.19,3605840
2012-07-18,3614.59,3622.2,3601.6,3622.2,2777710
2012-07-19,3596.56,3640.05,3596.56,3640.05,4270997
2012-07-20,3630.04,3630.04,3613.1,3613.1,6225842
2012-07-23,3547.15,3547.15,3492.45,3492.45,3578516
