Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,1077.69,1080.73,1077.69,1080.73,858979
2012-01-03,1079.41,1079.41,1067.85,1067.85,1145608
2012-01-04,1063.92,1067.08,1063.92,1065.24,1136280
2012-01-05,1056.04,1057.13,1056.04,1056.39,850484
2012-01-09,1056.24,1062.28,1055.81,1062.28,640495
2012-01-10,1066.53,1077.33,1066.53,1070.6,1458076
2012-01-11,1063.76,1069.12,1061.78,1069.12,944227
2012-01-12,1076.38,1080.21,1076.38,1080.21,3013091
2012-01-13,1082.31,1082.31,1074.36,1079.72,1687741
2012-01-16,1078.32,1079.85,1077.74,1079.85,1255685
2012-01-17,1088.87,1088.87,1070.61,1070.61,3431843
2012-01-18,1078.2,1078.2,1056.61,1056.61,1539182
2012-01-19,1052.49,1052.49,1036.49,1051.19,1252163
2012-01-20,1047.27,1057.37,1047.27,1057.37,1683627
2012-01-23,1064.87,1088.01,1064.87,1088.01,10589763
2012-01-24,1096.99,1096.99,1091.61,1094.69,4226089
2012-01-25,1098.88,1100.41,1096.12,1100.41,2616731
2012-01-26,1103.27,1103.27,1093.58,1093.58,3707734
2012-01-27,1098.74,1098.74,1093.33,1094.88,2079704
2012-01-30,1095.32,1104.91,1095.32,1104.91,2927229
2012-01-31,1101.81,1101.81,1086.12,1086.12,3763862
2012-02-01,1091.31,1100.87,1091.31,1100.87,4073929
2012-02-02,1097.05,1103.01,1097.05,1103.01,2193312
2012-02-03,1112.1,1118.21,1112.1,1118.21,5690499
2012-02-06,1110.62,1120.08,1110.62,1120.08,3505233
2012-02-07,1118.59,1118.59,1118.04,1118.04,2962423
2012-02-08,1125.99,1136.42,1125.99,1136.42,5470595
2012-02-09,1143.67,1143.67,1138.36,1138.36,3260148
2012-02-10,1140.37,1140.37,1139.33,1139.56,3550725
2012-02-13,1144.27,1144.51,1141.87,1141.87,3566757
2012-02-14,1144.98,1155.48,1144.98,1154.81,2580941
2012-02-15,1163.01,1168.6,1163.01,1168.6,2928945
2012-02-16,1160.95,1185.08,1160.95,1185.08,2576744
2012-02-17,1222.39,1228.62,1222.39,1228.62,18381177
2012-02-20,1245.5,1245.5,1216.47,1216.47,14832740
2012-02-21,1207.36,1233.12,1207.36,1233.12,7041754
2012-02-22,1210.21,1231.16,1210.21,1231.16,6351145
2012-02-23,1235.16,1235.16,1214.78,1214.78,4681829
2012-02-24,1227.52,1231.39,1225.93,1225.93,8793670
2012-02-27,1222.59,1234.28,1222.59,1234.28,6053469
2012-02-28,1226.37,1228.85,1218.4,1228.85,2246755
2012-02-29,1223.97,1223.97,1216.88,1220.74,2638611
2012-03-01,1205.06,1208.56,1202.89,1208.56,2174128
2012-03-02,1196.47,1196.47,1194.87,1195.27,2058545
2012-03-05,1196,1199.71,1189.08,1189.08,2014888
2012-03-06,1186.04,1186.04,1179.98,1179.98,2611495
2012-03-07,1170.36,1173.95,1170.36,1173.95,1635955
2012-03-08,1183.35,1195.74,1183.35,1195.74,4213214
2012-03-09,1200.02,1200.02,1166.22,1170.59,3982596
2012-03-12,1159.09,1159.64,1159.09,1159.64,6104112
2012-03-13,1163.6,1163.6,1145.36,1152.29,5930259
2012-03-14,1184.11,1184.11,1166.95,1166.95,6297413
2012-03-15,1176.13,1181.21,1173.58,1181.21,3421067
2012-03-16,1174.82,1217.09,1174.82,1217.09,4406112
2012-03-19,1199.35,1199.35,1188.4,1193.99,4554345
2012-03-20,1172.77,1172.77,1168.59,1168.59,13595821
2012-03-21,1175.45,1175.45,1163.54,1163.71,29997716
2012-03-22,1152.82,1152.82,1132.83,1132.83,9607583
2012-03-23,1119.26,1148.19,1119.26,1148.19,6690346
2012-03-26,1146.91,1176.46,1146.91,1176.46,3616631
2012-03-27,1180.25,1180.25,1168.58,1168.58,5157543
2012-03-28,1178.37,1181.92,1178.37,1181.92,1576828
2012-03-29,1172.2,1172.2,1171.2,1171.2,2055781
2012-03-30,1179.05,1184.43,1177.6,1184.43,1705560
2012-04-02,1166.39,1179.14,1166.39,1179.14,2549198
2012-04-03,1178.75,1186.18,1178.75,1186.18,1429127
2012-04-04,1173.76,1173.76,1163.57,1169.27,3677496
