Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,1333.93,1336.13,1330.09,1336.13,1397735
2012-01-03,1340.65,1340.65,1330.17,1330.17,1271994
2012-01-04,1325.65,1331.01,1320.42,1331.01,2571515
2012-01-05,1306.56,1311.68,1301.13,1311.68,1833852
2012-01-09,1299.57,1299.57,1288.88,1288.88,846832
2012-01-10,1296.19,1305.04,1294.37,1294.37,3182580
2012-01-11,1301.64,1302.62,1293.52,1293.52,2912894
2012-01-12,1317.98,1324.91,1312.66,1324.91,3351122
2012-01-13,1337.5,1337.5,1322.13,1322.13,1869288
2012-01-16,1318.08,1349.77,1318.08,1349.77,1126430
2012-01-17,1380.2,1380.2,1377.47,1380.07,2231553
2012-01-18,1382.5,1390.47,1381.94,1390.47,1486058
2012-01-19,1405.15,1413.62,1405.15,1409.6,2752818
2012-01-20,1399.96,1405.09,1399.96,1405.09,1118726
2012-01-23,1415.55,1418.64,1415.55,1417.55,2635647
2012-01-24,1414.86,1421.7,1414.86,1421.7,2020940
2012-01-25,1441.98,1453.32,1441.52,1453.32,4648730
2012-01-26,1512.73,1512.73,1506.87,1506.87,3006011
2012-01-27,1522.99,1522.99,1520.07,1520.07,1974526
2012-01-30,1495.46,1529.5,1495.46,1529.5,3962834
2012-01-31,1573.66,1573.66,1551.94,1551.94,3865487
2012-02-01,1555.47,1555.47,1537.47,1540.63,2185940
2012-02-02,1530.65,1532.25,1519.88,1532.25,2506617
2012-02-03,1525.62,1525.62,1520.4,1520.4,2208943
2012-02-06,1531.95,1574.49,1531.95,1574.49,2299878
2012-02-07,1583.85,1598.54,1582.99,1598.54,2786967
2012-02-08,1612.72,1637.78,1612.72,1637.78,4640175
2012-02-09,1625.87,1625.87,1598.45,1598.45,1889717
2012-02-10,1574.37,1574.37,1565.55,1572.78,2119980
2012-02-13,1582.99,1584.86,1573.13,1584.86,1827603
2012-02-14,1576.94,1576.94,1560.91,1560.91,4478517
2012-02-15,1570.4,1574.12,1570.4,1571.57,2212013
2012-02-16,1530.16,1541.88,1530.16,1541.88,3071582
2012-02-17,1555.4,1577,1554.02,1577,6655757
2012-02-20,1574.85,1581.6,1560.25,1560.25,5266103
2012-02-21,1558.44,1558.44,1543.06,1543.06,3255575
2012-02-22,1511.52,1517.96,1511.52,1512.06,3791075
2012-02-23,1512.67,1519.79,1512.67,1519.79,2280013
2012-02-24,1542.17,1547.61,1536.07,1536.07,1642020
2012-02-27,1519.29,1532.37,1519.29,1532.37,1222339
2012-02-28,1545.08,1545.08,1541.22,1544.45,1294012
2012-02-29,1541.52,1541.52,1526.01,1526.01,3376828
2012-03-01,1512.45,1512.45,1502.88,1502.88,3629171
2012-03-02,1496.88,1496.88,1492.52,1493.38,1868955
2012-03-05,1454.13,1454.13,1436.26,1436.26,5382002
2012-03-06,1413.35,1413.35,1379.04,1379.04,3420839
2012-03-07,1398.31,1415.56,1398.31,1415.56,3424708
2012-03-08,1436.73,1448.11,1436.73,1448.11,4484469
2012-03-09,1435.11,1443.12,1431.81,1443.12,2096151
2012-03-12,1423.1,1423.1,1403.99,1403.99,1685779
2012-03-13,1418.9,1418.9,1408.21,1413.94,3630183
2012-03-14,1428.2,1431.61,1425.86,1431.61,6555857
2012-03-15,1430.53,1439.34,1430.53,1439.34,4376185
2012-03-16,1437.17,1448.22,1437.17,1448.22,8587242
2012-03-19,1458.92,1458.92,1452.27,1458.76,2153567
2012-03-20,1450.37,1450.37,1440.47,1440.47,5085344
2012-03-21,1444.78,1444.78,1426.24,1429.92,4073693
2012-03-22,1383.41,1383.41,1371.73,1378.39,8514451
2012-03-23,1358.71,1390.97,1358.71,1390.97,2140220
2012-03-26,1387.13,1404.84,1387.13,1404.84,1653213
2012-03-27,1408.89,1420.39,1408.89,1420.39,4447795
2012-03-28,1418.58,1422.21,1417.49,1422.21,2571722
2012-03-29,1407.1,1407.1,1392.46,1395.56,1298320
2012-03-30,1400.89,1408.39,1400.54,1408.39,2317646
2012-04-02,1401.53,1401.53,1389.29,1393.53,1864888
2012-04-03,1389.32,1394.62,1389.14,1394.62,1465788
2012-04-04,1373.51,1373.51,1358.23,1358.23,1362327
2012-04-05,1371.71,1371.71,1355.64,1366.89,1228201
2012-04-10,1356.17,1356.17,1345.83,1350.74,1893544
2012-04-11,1335.39,1344.59,1334.9,1344.59,2293898
2012-04-12,1346.68,1361.46,1344.24,1361.46,1652985
2012-04-13,1350.78,1365.29,1350.78,1365.29,1570118
2012-04-16,1376.02,1382.34,1368.62,1382.34,5521985
2012-04-17,1371.19,1371.19,1360.47,1371.03,1933150
2012-04-18,1370.4,1370.4,1363.26,1363.63,2525417
2012-04-19,1355.36,1355.36,1352.33,1352.33,2185719
2012-04-20,1341,1345.41,1336.16,1345.41,2296756
2012-04-23,1323.12,1323.12,1310.47,1310.47,3742890
2012-04-24,1319.71,1322.25,1310.11,1322.25,1722010
2012-04-25,1320.03,1336.14,1320.03,1336.14,3363181
2012-04-26,1342.81,1350.89,1340.8,1350.89,1162079
2012-04-27,1364.53,1364.53,1362.37,1362.37,2570277
2012-04-30,1368.15,1368.15,1348.61,1348.61,1636802
2012-05-02,1342.29,1342.29,1333.34,1333.92,941219
2012-05-04,1323.97,1324.97,1315.31,1315.31,3511375
2012-05-07,1305.83,1328.01,1305.83,1328.01,1555906
2012-05-08,1315.51,1315.51,1313.87,1313.87,906269
2012-05-09,1310.09,1312.24,1305.11,1312.24,632573
2012-05-10,1306.6,1311.32,1306.6,1311.32,1531138
2012-05-11,1301.25,1301.25,1292.52,1300.15,580111
2012-05-14,1269.29,1269.29,1265.01,1265.01,1572980
2012-05-15,1252.55,1252.55,1243.03,1243.03,3824960
2012-05-16,1222.04,1236.62,1222.04,1236.35,5838718
2012-05-17,1241.97,1241.97,1215.92,1215.92,3612561
2012-05-18,1210.25,1225.18,1210.25,1225.18,3162111
