Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,2583.84,2648.65,2583.84,2648.65,14140514
2012-01-03,2656.81,2660.78,2590.43,2590.43,37220519
2012-01-04,2595.61,2607.3,2593,2607.3,16865117
2012-01-05,2543.22,2548.99,2543.22,2545.77,15893143
2012-01-09,2502.11,2531.16,2502.11,2512.52,13980065
2012-01-10,2566.7,2582.34,2566.7,2575.44,18976414
2012-01-11,2588.74,2588.74,2566.72,2568.57,16071104
2012-01-12,2597.26,2601.54,2592.27,2592.27,18853796
2012-01-13,2617.04,2617.04,2555.86,2555.86,10252491
2012-01-16,2560.74,2596.55,2560.74,2596.55,5457389
2012-01-17,2647.75,2647.75,2612.79,2612.79,22549944
2012-01-18,2654.65,2673.94,2654.65,2673.94,13986682
2012-01-19,2669.31,2676.93,2669.31,2676.93,8466716
2012-01-20,2670.64,2696.44,2670.64,2696.44,6239844
2012-01-23,2679.39,2716.01,2679.39,2716.01,8837538
2012-01-24,2715.94,2715.94,2689.82,2696.24,15119481
2012-01-25,2694.35,2694.35,2639.37,2639.37,18755401
2012-01-26,2682.57,2682.57,2664.06,2664.06,19509129
2012-01-27,2669.65,2669.65,2651.42,2652.19,9177422
2012-01-30,2654.2,2672.31,2652.39,2672.31,9491438
2012-01-31,2711.33,2732.84,2686.62,2686.62,21922602
2012-02-01,2707.48,2716.66,2705.46,2716.66,11439147
2012-02-02,2712.36,2753.28,2712.36,2753.28,10302844
2012-02-03,2762.65,2780.68,2756.43,2756.43,10711246
2012-02-06,2737.96,2770.14,2737.96,2770.14,18007564
2012-02-07,2732.73,2751.54,2732.73,2751.54,24750241
2012-02-08,2753.14,2753.14,2743.95,2750.55,11874458
2012-02-09,2680.43,2697.56,2680.43,2697.56,14313090
2012-02-10,2675.41,2675.41,2648.06,2668.25,9986606
2012-02-13,2661.58,2673.28,2661.58,2673.28,23710577
2012-02-14,2647.7,2647.7,2630.19,2632.39,14492465
2012-02-15,2636.18,2639.39,2628.46,2628.46,14215883
2012-02-16,2608.8,2635.73,2608.8,2617.94,11595940
2012-02-17,2661.42,2670.02,2660.77,2670.02,6524507
2012-02-20,2684.17,2692.99,2671.99,2671.99,8359288
2012-02-21,2670.72,2670.72,2654.97,2654.97,6337637
2012-02-22,2633.64,2633.64,2616.61,2625.89,14767797
